Movie Rank,Movie Name,Release Year,IMdB Rating,Cast
,,,,
1,The Shawshank Redemption,1994,9.2,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
,,,,
2,The Godfather,1972,9.1,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
,,,,
3,The Godfather: Part II,1974,9,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
,,,,
4,The Dark Knight,2008,9,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
,,,,
5,12 Angry Men,1957,8.9,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
,,,,
6,Schindler's List,1993,8.9,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
,,,,
7,The Lord of the Rings: The Return of the King,2003,8.9,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
,,,,
8,Pulp Fiction,1994,8.8,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
,,,,
9,"Il buono, il brutto, il cattivo",1966,8.8,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
,,,,
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
,,,,
11,Fight Club,1999,8.8,"David Fincher (dir.), Brad Pitt, Edward Norton"
,,,,
12,Forrest Gump,1994,8.8,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
,,,,
13,Inception,2010,8.7,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
,,,,
14,The Lord of the Rings: The Two Towers,2002,8.7,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
,,,,
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
,,,,
16,The Matrix,1999,8.6,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
,,,,
17,Goodfellas,1990,8.6,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
,,,,
18,One Flew Over the Cuckoo's Nest,1975,8.6,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
,,,,
19,Shichinin no samurai,1954,8.6,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
,,,,
20,Se7en,1995,8.6,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
,,,,
21,La vita è bella,1997,8.6,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
,,,,
22,Cidade de Deus,2002,8.6,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
,,,,
23,The Silence of the Lambs,1991,8.6,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
,,,,
24,It's a Wonderful Life,1946,8.6,"Frank Capra (dir.), James Stewart, Donna Reed"
,,,,
25,Star Wars,1977,8.6,"George Lucas (dir.), Mark Hamill, Harrison Ford"
,,,,
26,Saving Private Ryan,1998,8.5,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
,,,,
27,Sen to Chihiro no kamikakushi,2001,8.5,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
,,,,
28,The Green Mile,1999,8.5,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
,,,,
29,Gisaengchung,2019,8.5,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee"
,,,,
30,Interstellar,2014,8.5,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
,,,,
